"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"IN009012000","1953","13.12","77.58","909.0","YELAHANKA, IN","70","I","65","I","81.3",",I,1029,","913.1",",I"
"IN009012000","1957","13.12","77.58","909.0","YELAHANKA, IN","28","I","27","I","39.6",",I,1002,","330.1",",I"
"IN009012000","1958","13.12","77.58","909.0","YELAHANKA, IN","24","I","16","I","54.6",",I,0804,","411.5",",I"
"IN009012000","1959","13.12","77.58","909.0","YELAHANKA, IN","20","I","15","I","63.5",",I,0814,","323.7",",I"
"IN009012000","1960","13.12","77.58","909.0","YELAHANKA, IN","37","I","33","I","38.9",",I,1114,","405.4",",I"
